label,text
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
ham,Yay! You better not have told that to 5 other girls either.
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
ham,If you have belive me. Come to my home.
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
ham,I think the other two still need to get cash but we can def be ready by 9
ham,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?"
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
ham,Ok. But i finish at 6.
ham,Those were my exact intentions
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,Leave it de:-). Start Prepare for next:-)..
ham,Bognor it is! Should be splendid at this time of year.
ham,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.
ham,Can. Dunno wat to get 4 her...
ham,Hmm ill have to think about it... ok you're forgiven! =D
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
ham,"Okey dokey, i ll be over in a bit just sorting some stuff out."
ham,Where's my boytoy? I miss you ... What happened?
ham,"Sorry, I'll call later"
ham,"Yeah, we got one lined up for us"
ham,How did you find out in a way that didn't include all of these details
ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
ham,Glad to see your reply.
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
ham,You are not bothering me but you have to trust my answers. Pls.
ham,Leave it wif me lar... wan to carry meh so heavy... Is da num 98321561 familiar to _?
ham,I need... Coz i never go before
ham,Yes see ya not on the dot
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,"G says you never answer your texts, confirm/deny"
spam,Marvel Mobile Play the official Ultimate Spider-man game ( 4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
ham,Long time. You remember me today.
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
ham,Thank You meet you monday
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,Sorry for the delay. Yes masters
ham,Sorry da..today i wont come to play..i have driving clas..
ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
ham,Tell where you reached
ham,Today am going to college so am not able to atten the class.
ham,"Found it, ENC <#> , where you at?"
ham,K I'll be there before 4.
ham,Wanna do some art?! :D
ham,Yes:)from last week itself i'm taking live call.
spam,This message is brought to you by GMW Ltd. and is not connected to the
ham,K I'll call you when I'm close
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto <#> .Call Ms.Suman <#> for Telephonic interview -via Indyarocks.com
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
ham,Nope... Juz off from work...
ham,I just lov this line: \Hurt me with the truth
ham,Que pases un buen tiempo or something like that
ham,Company is very good.environment is terrific and food is really nice:)
ham,Well boy am I glad G wasted all night at applebees for nothing
ham,I am not at all happy with what you saying or doing
ham,No da..today also i forgot..
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,Shall call now dear having food
spam,"Today's Offer! Claim ur 150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. 3.00 Sub. 16 . Unsub reply X"
ham,Two teams waiting for some players
ham,No da if you run that it activate the full version da.
ham,I cant pick the phone right now. Pls send a message
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. 1.50 SP:Tyrone
ham,Your account has been refilled successfully by INR <DECIMAL> . Your KeralaCircle prepaid account balance is Rs <DECIMAL> . Your Transaction ID is KR <#> .
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
ham,"Get the door, I'm here"
spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
ham,Compliments to you. Was away from the system. How your side.
ham,i can call in <#> min if thats ok
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,Ill call you evening ill some ideas.
ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham,East coast
ham,Yeah that's the impression I got
ham,O we cant see if we can join denis and mina? Or does denis want alone time
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,Well she's in for a big surprise!
ham,I'm always looking for an excuse to be in the city.
ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
ham,Thanx a lot 4 ur help!
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be <#> k. Pls holla back
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
spam,WIN a year supply of CDs 4 a store of ur choice worth 500 & enter our 100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Lol great now im getting hungry.
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the thing will be resolved, tho. Anyway. Have a fab hols"
ham,So i'm doing a list of buyers.
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,"K I'm leaving soon, be there a little after 9"
ham,I'll let you know when it kicks in
ham,Is that on the telly? No its Brdget Jones!
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
ham,Love that holiday Monday feeling even if I have to go to the dentists in an hour
ham,I'm not sure if its still available though
ham,Ok lor.
ham,Total video converter free download type this in google search:)
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough _"
ham,"Nope. Since ayo travelled, he has forgotten his guy"
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN 100 Cash WKENT/150P16+
ham,You got called a tool?
ham,Hey you can pay. With salary de. Only <#> .
ham,Huh but i cant go 2 ur house empty handed right?
ham,\CHA QUITEAMUZING THAT SCOOL BABE
ham,Shall i come to get pickle
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
ham,Why you Dint come with us.
ham,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\"""""
spam,Ur balance is now 500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,See the forwarding message for proof
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
spam,"URGENT! Your Mobile No 07808726822 was awarded a 2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
ham,Then she dun believe wat?
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
ham,Indeed and by the way it was either or - not both !
ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ?"
ham,Maybe?! Say hi to and find out if got his card. Great escape or wetherspoons?
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,Ok... The theory test? when are _ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
ham,"House-Maid is the murderer, coz the man was murdered on <#> th January.. As public holiday all govt.instituitions are closed,including post office.."
ham,That's a shame! Maybe cld meet for few hrs tomo?
ham,No no. I will check all rooms befor activities
ham,Jesus armand really is trying to tell everybody he can find
ham,Lol! Oops sorry! Have fun.
ham,"K so am I, how much for an 8th? Fifty?"
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
ham,"Lol, oh you got a friend for the dog ?"
ham,I not at home now lei...
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. 1.50 increments. Help08718728876"
ham,I was gonna ask you lol but i think its at 7
ham,I will vote for wherever my heart guides me
ham,Cool. So how come you havent been wined and dined before?
ham,K.k:)advance happy pongal.
ham,But am going to college pa. What to do. are else ill come there it self. Pa.
ham,DO NOT B LATE LOVE MUM
ham,"_ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon \"" ham"""
ham,Carlos says we can pick up from him later so yeah we're set
ham,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight
ham,Oh ok.. Wat's ur email?
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,I tagged MY friends that you seemed to count as YOUR friends.
ham,"\Hey! do u fancy meetin me at 4 at cha hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x\"""""
ham,Mm feeling sleepy. today itself i shall get that dear
ham,"Nothing really, just making sure everybody's up to speed"
ham,predict wat time _'ll finish buying?
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,Are you still getting the goods.
ham,S.i'm watching it in live..
ham,I love you both too :-)
ham,Ya even those cookies have jelly on them
ham,Or _ go buy wif him then i meet _ later can?
ham,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
ham,"How about clothes, jewelry, and trips?"
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
ham,If you are not coughing then its nothing
ham,At what time are you coming.
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to <#>
ham,I've got it down to a tea. not sure which flavour
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
ham,I think its far more than that but find out. Check google maps for a place from your dorm.
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch
ham,Then any special there?
ham,We got a divorce. Lol. She.s here
ham,Sorry i din lock my keypad.
ham,Im good! I have been thinking about you...
ham,Sorry i missed your call. Can you please call back.
ham,And I don't plan on staying the night but I prolly won't be back til late
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,Ma head dey swell oh. Thanks for making my day
ham,Sorry . I will be able to get to you. See you in the morning.
ham,Quite late lar... Ard 12 anyway i wun b drivin...
ham,Dont worry. I guess he's busy.
ham,So u wan 2 come for our dinner tonight a not?
ham,Dear where you will be when i reach there
spam,You have won a guaranteed 200 award or even 1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
ham,"Babe, I'm back ... Come back to me ..."
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
spam,You are a winner U have been specially selected 2 receive 1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
ham,I'll meet you in the lobby
ham,Ok. There may be a free gym about.
ham,Good night. Am going to sleep.
ham,Just woke up. Yeesh its late. But I didn't fall asleep til <#> am :/
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN <#> to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
ham,Sorry da thangam.it's my mistake.
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
ham,It's justbeen overa week since we broke up and already our brains are going to mush!
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
ham,i want to grasp your pretty booty :)
ham,"I wake up long ago already... Dunno, what other thing?"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,Full heat pa:-) i have applyed oil pa.
ham,Hey i will be late... i'm at amk. Need to drink tea or coffee
ham,Then dun wear jeans lor...
ham,"chile, please! It's only a <DECIMAL> hour drive for me. I come down all the time and will be subletting feb-april for audition season."
ham,I'll talk to the others and probably just come early tomorrow then
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)"""
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
ham,We live in the next <#> mins
ham,Hmm thinking lor...
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
ham,Check audrey's status right now
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,Howz that persons story
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, 1.50 to rcv"
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or 250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,"Haha awesome, be there in a minute"
ham,Hello- thanx for taking that call. I got a job! Starts on monday!
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
ham,"They can try! They can get lost, in fact. Tee hee"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
ham,Hanging out with my brother and his family
ham,Hey anyway i have to :-)
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
ham,I've reached already.
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
ham,"I think we're going to finn's now, come"
ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
ham,New car and house for my parents.:)i have only new job in hand:)
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite & sweet dreams
ham,"K I'll head out in a few mins, see you there"
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,What happened to our yo date?
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are <#> and up
ham,Where at were hungry too
ham,Networking technical support associate.
ham,Not..tel software name..
spam,You have WON a guaranteed 1000 cash or a 2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
ham,Now am free call me pa.
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
ham,What is important is that you prevent dehydration by giving her enough fluids
ham,bot notes oredi... Cos i juz rem i got...
ham,Tell rob to mack his gf in the theater
ham,You are a big chic. Common. Declare
ham,Let me know when you've got the money so carlos can make the call
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THAT S AL!!!!!!!!!
ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. <#>"
ham,U repeat e instructions again. Wat's e road name of ur house?
ham,How much is torch in 9ja.
ham,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
ham,Same as kallis dismissial in 2nd test:-).
ham,No da. I am happy that we sit together na
ham,Tension ah?what machi?any problem?
ham,I wil be there with in <#> minutes. Got any space
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,Huh y lei...
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
ham,India have to take lead:)
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,You're gonna have to be way more specific than that
ham,Yeah confirmed for you staying at that weekend
ham,Nope... C _ then...
ham,Okay same with me. Well thanks for the clarification
ham,Doing project w frens lor.
ham,In which place do you want da.
ham,How much for an eighth?
ham,Gud ni8.swt drms.take care
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
ham,Give me a sec to think think about it
spam,Congratulations ur awarded either 500 of CD gift vouchers & Free entry 2 our 100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
ham,Boo. How's things? I'm back at home and a little bored already :-(
ham,You bad girl. I can still remember them
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
ham,So how are you really. What are you up to. How's the masters. And so on.
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,"I've got <#> , any way I could pick up?"
ham,on a Tuesday night r u 4 real
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
ham,How abt making some of the pics bigger?
ham,U wan 2 haf lunch i'm in da canteen now.
ham,I dont know exactly could you ask chechi.
ham,Alright i have a new goal now
ham,Tell dear what happen to you. Why you talking to me like an alian
ham,Water logging in desert. Geoenvironmental implications.
spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
ham,Anything lar then _ not going home 4 dinner?
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
ham,Do you know when dad will be back?
ham,"Haha, just what I was thinkin"
ham,We have pizza if u want
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed 1000 cash or 5000 prize!
ham,Can i get your opinion on something first?
spam,u r a winner U ave been specially selected 2 receive 1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 )
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham,I'm glad. You are following your dreams.
ham,I'm home. Doc gave me pain meds says everything is fine.
ham,Hi happy birthday. Hi hi hi hi hi hi hi
ham,Pls confirm the time to collect the cheque.
ham,Please tell me not all of my car keys are in your purse
ham,Do you like shaking your booty on the dance floor?
ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
spam,U are subscribed to the best Mobile Content Service in the UK for 3 per ten days until you send STOP to 83435. Helpline 08706091795.
ham,This single single answers are we fighting? Plus i said am broke and you didnt reply
ham,Thanx but my birthday is over already.
ham,It shall be fine. I have avalarr now. Will hollalater
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,"Say this slowly.? GOD,I LOVE YOU & I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people & u c miracle tomorrow, do it,pls,pls do it..."
ham,Get ready for <#> inches of pleasure...
ham,Ok i go change also...
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Its sarcasm.. .nt scarcasim
ham,Ok...
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
ham,Oops i thk i dun haf enuff... I go check then tell _..
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
ham,Dear :-/ why you mood off. I cant drive so i brother to drive
ham,On the way to office da..
ham,Great comedy..cant stop laughing da:)
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
ham,K.k..how is your sister kids?
ham,Short But Cute: \Be a good person
ham,Are you this much buzy
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,Come to mahal bus stop.. <DECIMAL>
