"AUDIT_ID","ACTION_TYPE","ENTITY_TYPE","ENTITY_ID","FIELD_CHANGED","OLD_VALUE","NEW_VALUE","CHANGE_SUMMARY","USER_ID","USER_ROLE","IP_ADDRESS","ACTION_TIMESTAMP"
20,ESCALATE_ALERT,ALERT,15014,ASSIGNED_TO,officer_dubois,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.64.166.138",2025-08-20 07:55:27.000
21,REVIEW_ALERT,ALERT,15015,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed threshold breach pattern. Proceeding with standard review.,analyst_chen,AML_ANALYST,"10.65.167.145",2024-05-23 01:06:00.000
22,REVIEW_ALERT,ALERT,15016,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,analyst_patel,AML_ANALYST,"10.66.168.152",2024-08-31 18:08:13.000
23,REVIEW_ALERT,ALERT,15017,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,analyst_okonkwo,AML_ANALYST,"10.67.169.159",2025-08-20 15:55:37.000
24,REVIEW_ALERT,ALERT,15018,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,analyst_silva,AML_ANALYST,"10.68.170.166",2026-03-28 11:47:13.000
25,REVIEW_ALERT,ALERT,15019,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,analyst_kim,AML_ANALYST,"10.69.171.173",2026-06-22 18:04:53.000
26,REVIEW_ALERT,ALERT,15020,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed threshold breach pattern. Proceeding with standard review.,senior_marchetti,SENIOR_ANALYST,"10.70.172.180",2024-12-17 05:08:22.000
27,REVIEW_ALERT,ALERT,15021,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.71.173.187",2024-12-31 06:35:04.000
28,REVIEW_ALERT,ALERT,15022,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,manager_raghavan,COMPLIANCE_MANAGER,"10.72.174.194",2024-09-02 03:50:03.000
29,ESCALATE_ALERT,ALERT,15022,ASSIGNED_TO,manager_raghavan,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.72.174.194",2024-09-02 05:50:03.000
30,REVIEW_ALERT,ALERT,15023,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,manager_fernandez,COMPLIANCE_MANAGER,"10.73.175.201",2025-03-06 22:53:13.000
31,REVIEW_ALERT,ALERT,15024,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,officer_tanaka,COMPLIANCE_OFFICER,"10.74.176.208",2024-09-14 05:37:50.000
32,REVIEW_ALERT,ALERT,15025,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: CRITICAL. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,officer_dubois,COMPLIANCE_OFFICER,"10.75.177.215",2025-08-31 22:29:56.000
33,ESCALATE_ALERT,ALERT,15025,ASSIGNED_TO,officer_dubois,senior_okafor,Alert escalated to SENIOR_ANALYST due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.75.177.215",2025-09-01 00:29:56.000
34,REVIEW_ALERT,ALERT,15026,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,analyst_chen,AML_ANALYST,"10.76.178.222",2024-07-02 00:13:52.000
35,ESCALATE_ALERT,ALERT,15026,ASSIGNED_TO,analyst_chen,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.76.178.222",2024-07-02 03:13:52.000
36,REVIEW_ALERT,ALERT,15027,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.77.179.229",2026-01-28 02:31:32.000
37,REVIEW_ALERT,ALERT,15028,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,analyst_okonkwo,AML_ANALYST,"10.78.180.236",2025-11-26 03:38:56.000
38,REVIEW_ALERT,ALERT,15029,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,analyst_silva,AML_ANALYST,"10.79.181.243",2024-02-18 07:00:05.000
39,REVIEW_ALERT,ALERT,15030,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: MEDIUM. Joule analysis confirmed threshold breach pattern. Proceeding with standard review.,analyst_kim,AML_ANALYST,"10.80.182.250",2025-06-15 14:59:52.000
40,REVIEW_ALERT,ALERT,15031,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,senior_marchetti,SENIOR_ANALYST,"10.81.183.1",2026-04-15 01:38:10.000
41,ESCALATE_ALERT,ALERT,15031,ASSIGNED_TO,senior_marchetti,senior_okafor,Alert escalated to SENIOR_ANALYST due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.81.183.1",2026-04-15 03:38:10.000
42,REVIEW_ALERT,ALERT,15032,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: CRITICAL. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.82.184.8",2024-04-29 01:25:27.000
43,ESCALATE_ALERT,ALERT,15032,ASSIGNED_TO,senior_okafor,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.82.184.8",2024-04-29 04:25:27.000
44,REVIEW_ALERT,ALERT,15033,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: HIGH. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,manager_raghavan,COMPLIANCE_MANAGER,"10.83.185.15",2025-10-17 09:52:14.000
45,REVIEW_ALERT,ALERT,15034,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,manager_fernandez,COMPLIANCE_MANAGER,"10.84.186.22",2025-04-28 23:31:33.000
46,ESCALATE_ALERT,ALERT,15034,ASSIGNED_TO,manager_fernandez,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.84.186.22",2025-04-29 01:31:33.000
47,REVIEW_ALERT,ALERT,15035,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,officer_tanaka,COMPLIANCE_OFFICER,"10.85.187.29",2026-06-13 07:27:27.000
48,ESCALATE_ALERT,ALERT,15035,ASSIGNED_TO,officer_tanaka,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.85.187.29",2026-06-13 10:27:27.000
49,REVIEW_ALERT,ALERT,15036,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,officer_dubois,COMPLIANCE_OFFICER,"10.86.188.36",2024-04-22 04:28:08.000
50,REVIEW_ALERT,ALERT,15037,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,analyst_chen,AML_ANALYST,"10.87.189.43",2025-07-02 17:54:04.000
51,REVIEW_ALERT,ALERT,15038,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: CRITICAL. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.88.190.50",2025-01-24 08:28:34.000
52,ESCALATE_ALERT,ALERT,15038,ASSIGNED_TO,analyst_patel,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.88.190.50",2025-01-24 11:28:34.000
53,REVIEW_ALERT,ALERT,15039,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,analyst_okonkwo,AML_ANALYST,"10.89.191.57",2025-03-11 14:28:45.000
54,REVIEW_ALERT,ALERT,15040,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed threshold breach pattern. Proceeding with standard review.,analyst_silva,AML_ANALYST,"10.90.192.64",2025-12-15 10:55:08.000
55,REVIEW_ALERT,ALERT,15041,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,analyst_kim,AML_ANALYST,"10.91.193.71",2024-02-04 08:15:29.000
56,ESCALATE_ALERT,ALERT,15041,ASSIGNED_TO,analyst_kim,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.91.193.71",2024-02-04 11:15:29.000
57,REVIEW_ALERT,ALERT,15042,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,senior_marchetti,SENIOR_ANALYST,"10.92.194.78",2024-09-02 23:51:06.000
58,REVIEW_ALERT,ALERT,15043,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.93.195.85",2025-11-01 17:01:43.000
59,ESCALATE_ALERT,ALERT,15043,ASSIGNED_TO,senior_okafor,senior_okafor,Alert escalated to SENIOR_ANALYST due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.93.195.85",2025-11-01 19:01:43.000
60,REVIEW_ALERT,ALERT,15044,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,manager_raghavan,COMPLIANCE_MANAGER,"10.94.196.92",2025-06-19 04:25:20.000
61,ESCALATE_ALERT,ALERT,15044,ASSIGNED_TO,manager_raghavan,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.94.196.92",2025-06-19 07:25:20.000
62,REVIEW_ALERT,ALERT,15045,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,manager_fernandez,COMPLIANCE_MANAGER,"10.95.197.99",2026-04-06 14:01:16.000
63,REVIEW_ALERT,ALERT,15046,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,officer_tanaka,COMPLIANCE_OFFICER,"10.96.198.106",2024-06-21 02:08:55.000
64,ESCALATE_ALERT,ALERT,15046,ASSIGNED_TO,officer_tanaka,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.96.198.106",2024-06-21 04:08:55.000
65,REVIEW_ALERT,ALERT,15047,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: CRITICAL. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,officer_dubois,COMPLIANCE_OFFICER,"10.97.199.113",2024-05-18 23:29:59.000
66,ESCALATE_ALERT,ALERT,15047,ASSIGNED_TO,officer_dubois,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.97.199.113",2024-05-19 02:29:59.000
67,REVIEW_ALERT,ALERT,15048,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,analyst_chen,AML_ANALYST,"10.98.200.120",2024-04-08 13:59:07.000
68,REVIEW_ALERT,ALERT,15049,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,analyst_patel,AML_ANALYST,"10.99.201.127",2025-01-18 06:04:32.000
69,REVIEW_ALERT,ALERT,15050,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,analyst_okonkwo,AML_ANALYST,"10.50.202.134",2025-12-29 09:56:55.000
70,ESCALATE_ALERT,ALERT,15050,ASSIGNED_TO,analyst_okonkwo,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.50.202.134",2025-12-29 12:56:55.000
71,REVIEW_ALERT,ALERT,15051,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,analyst_silva,AML_ANALYST,"10.51.203.141",2025-08-28 12:31:47.000
72,REVIEW_ALERT,ALERT,15052,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,analyst_kim,AML_ANALYST,"10.52.204.148",2026-02-10 10:34:56.000
73,ESCALATE_ALERT,ALERT,15052,ASSIGNED_TO,analyst_kim,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.52.204.148",2026-02-10 12:34:56.000
74,REVIEW_ALERT,ALERT,15053,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,senior_marchetti,SENIOR_ANALYST,"10.53.205.155",2024-12-31 14:11:30.000
75,REVIEW_ALERT,ALERT,15054,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.54.206.162",2025-07-31 06:23:40.000
76,REVIEW_ALERT,ALERT,15055,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,manager_raghavan,COMPLIANCE_MANAGER,"10.55.207.169",2024-06-26 10:41:22.000
77,ESCALATE_ALERT,ALERT,15055,ASSIGNED_TO,manager_raghavan,senior_okafor,Alert escalated to SENIOR_ANALYST due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.55.207.169",2024-06-26 12:41:22.000
78,REVIEW_ALERT,ALERT,15056,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,manager_fernandez,COMPLIANCE_MANAGER,"10.56.208.176",2024-07-23 09:16:23.000
79,ESCALATE_ALERT,ALERT,15056,ASSIGNED_TO,manager_fernandez,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.56.208.176",2024-07-23 12:16:23.000
80,REVIEW_ALERT,ALERT,15057,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,officer_tanaka,COMPLIANCE_OFFICER,"10.57.209.183",2026-03-29 04:44:57.000
81,REVIEW_ALERT,ALERT,15058,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,officer_dubois,COMPLIANCE_OFFICER,"10.58.210.190",2024-01-21 22:56:11.000
82,REVIEW_ALERT,ALERT,15059,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,analyst_chen,AML_ANALYST,"10.59.211.197",2026-01-29 16:40:23.000
83,ESCALATE_ALERT,ALERT,15059,ASSIGNED_TO,analyst_chen,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.59.211.197",2026-01-29 19:40:23.000
84,REVIEW_ALERT,ALERT,15060,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: CRITICAL. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.60.212.204",2024-02-11 22:32:54.000
85,REVIEW_ALERT,ALERT,15061,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,analyst_okonkwo,AML_ANALYST,"10.61.213.211",2025-12-04 03:26:46.000
86,REVIEW_ALERT,ALERT,15062,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,analyst_silva,AML_ANALYST,"10.62.214.218",2025-03-09 07:06:35.000
87,REVIEW_ALERT,ALERT,15063,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,analyst_kim,AML_ANALYST,"10.63.215.225",2024-05-07 12:35:22.000
88,REVIEW_ALERT,ALERT,15064,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,senior_marchetti,SENIOR_ANALYST,"10.64.216.232",2026-02-17 00:57:03.000
89,ESCALATE_ALERT,ALERT,15064,ASSIGNED_TO,senior_marchetti,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.64.216.232",2026-02-17 02:57:03.000
90,REVIEW_ALERT,ALERT,15065,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.65.217.239",2024-02-09 19:42:04.000
91,ESCALATE_ALERT,ALERT,15065,ASSIGNED_TO,senior_okafor,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.65.217.239",2024-02-09 22:42:04.000
