"EXPLANATION_ID","ALERT_ID","TRANSACTION_ID","COMPANY_ID","EXPLANATION_TYPE","EXPLANATION_TEXT","CONFIDENCE_SCORE","INPUT_CONTEXT","MODEL_VERSION","USER_RATING","USER_FEEDBACK","GENERATED_AT"
20033,15033,15890,1609,ALERT_SUMMARY,Transaction amount breaches the high-value monitoring threshold. Amount is 2.6x above the company's historical monthly average.,0.9041,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20034,15034,54407,593,RECOMMENDATION,Assign to AML analyst for priority review within 24 hours. Request supporting documentation from relationship manager. Assess SAR filing requirement.,0.9654,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20035,15035,52744,405,RECOMMENDATION,Suspend transaction processing. Conduct emergency counterparty screening. Notify Financial Crime Operations within 2 hours.,0.7664,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20036,15036,107581,3117,RECOMMENDATION,Flag for immediate SAR consideration. Freeze related account activity. Escalate to AML Investigation team.,0.7894,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20037,15037,121764,2113,RECOMMENDATION,Review transaction documentation and verify business purpose. Update monitoring watchlist if pattern continues.,0.8063,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20038,15038,53116,4269,RISK_DRIVER,"Key risk factors: Counterparty risk score 12, no sanctions match, elevated destination jurisdiction (score: 95), VERIFIED KYC status.",0.8373,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20039,15039,54252,3924,RECOMMENDATION,Request transaction purpose documentation from client. Verify beneficiary details. Assess whether EDD review is required.,0.9083,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20040,15040,130333,1684,ALERT_SUMMARY,Moderate increase in transaction frequency observed over the past 7 days compared to the 90-day baseline.,0.9075,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20041,15041,97330,3091,ALERT_SUMMARY,Transaction frequency spike detected. Company has exceeded its typical weekly transaction count within a single day.,0.8027,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20042,15042,66942,323,ALERT_SUMMARY,"Transaction pattern matches known structuring typology: multiple sub-threshold transfers to different beneficiaries within 48 hours, consistent with layering activity.",0.9352,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20043,15043,8987,2750,RISK_DRIVER,"Key risk factors: Amount 1.6x above baseline average (score: 49), moderate geographic exposure (score: 27), elevated transaction frequency (score: 55).",0.8116,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20044,15044,105437,4777,ALERT_SUMMARY,"Transaction pattern matches known structuring typology: multiple sub-threshold transfers to different beneficiaries within 48 hours, consistent with layering activity.",0.9600,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20045,15045,102941,2254,RECOMMENDATION,Request transaction purpose documentation from client. Verify beneficiary details. Assess whether EDD review is required.,0.9516,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20046,15046,76320,3317,RISK_DRIVER,"Key risk factors: Amount 2.1x above baseline average (score: 64), elevated geographic exposure (score: 54), normal transaction frequency (score: 0).",0.7989,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20047,15047,7182,1682,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 27), no sanctions exposure, high transaction size (score: 64), cross-border routing.",0.8410,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20048,15048,34826,4356,RECOMMENDATION,Request transaction purpose documentation from client. Verify beneficiary details. Assess whether EDD review is required.,0.8555,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20049,15049,60324,813,RISK_DRIVER,"Key risk factors: Amount 1.9x above baseline average (score: 56), moderate geographic exposure (score: 23), normal transaction frequency (score: 11).",0.7821,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20050,15050,114541,977,RECOMMENDATION,Conduct enhanced due diligence on counterparty. Review last 90 days of transaction history for related patterns. Update risk profile.,0.8791,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20051,15051,96056,4179,RISK_DRIVER,"Key risk factors: Amount 2.0x above baseline average (score: 61), elevated geographic exposure (score: 62), normal transaction frequency (score: 18).",0.9218,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20052,15052,149552,2239,RISK_DRIVER,"Key risk factors: Amount 2.2x above baseline average (score: 67), moderate geographic exposure (score: 45), normal transaction frequency (score: 29).",0.9565,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20053,15053,117374,4072,RISK_DRIVER,"Key risk factors: Transaction velocity 1.4x above daily baseline (score: 14), anomalous behavioral pattern (score: 91), moderate geography (score: 18).",0.8333,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20054,15054,4666,3631,ALERT_SUMMARY,Transaction frequency spike detected. Company has exceeded its typical weekly transaction count within a single day.,0.8672,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20055,15055,30228,2293,ALERT_SUMMARY,Behavioral pattern anomaly detected. Transaction characteristics deviate significantly from the company's established baseline profile.,0.9238,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20056,15056,92445,46,ALERT_SUMMARY,"Transaction amount of $109,200 significantly exceeds the company's 90-day average of $36,400, triggering a critical threshold breach alert requiring immediate review.",0.7852,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20057,15057,75726,3152,ALERT_SUMMARY,Transaction destination country carries medium geographic risk. Standard enhanced monitoring applied.,0.9322,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20058,15058,12653,2581,RISK_DRIVER,"Key risk factors: Amount 1.6x above baseline average (score: 48), elevated geographic exposure (score: 95), elevated transaction frequency (score: 77).",0.8872,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20059,15059,77346,1208,RISK_DRIVER,"Key risk factors: Counterparty risk score 29, no sanctions match, moderate destination jurisdiction (score: 16), VERIFIED KYC status.",0.8378,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20060,15060,77470,2830,RISK_DRIVER,"Key risk factors: Transaction velocity 2.2x above daily baseline (score: 20), moderate behavioral pattern (score: 14), moderate geography (score: 39).",0.8717,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20061,15061,50066,2949,RECOMMENDATION,Review transaction documentation and verify business purpose. Update monitoring watchlist if pattern continues.,0.9480,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20062,15062,29552,4614,ALERT_SUMMARY,New counterparty relationship detected. No prior transaction history with this beneficiary in the last 12 months.,0.9065,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20063,15063,17718,1349,ALERT_SUMMARY,New counterparty relationship detected. No prior transaction history with this beneficiary in the last 12 months.,0.9068,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20064,15064,111947,1918,RECOMMENDATION,Assign to AML analyst for priority review within 24 hours. Request supporting documentation from relationship manager. Assess SAR filing requirement.,0.9227,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20065,15065,98173,3755,RECOMMENDATION,Conduct enhanced due diligence on counterparty. Review last 90 days of transaction history for related patterns. Update risk profile.,0.8282,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20066,15066,88591,4562,RISK_DRIVER,"Key risk factors: Pattern match confidence 14% (score: 12), moderate amount profile (score: 48), elevated counterparty risk (score: 82).",0.8500,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20067,15067,124290,785,RISK_DRIVER,"Key risk factors: Counterparty risk score 25, no sanctions match, elevated destination jurisdiction (score: 87), VERIFIED KYC status.",0.7507,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20068,15068,69120,3412,RECOMMENDATION,Conduct enhanced due diligence on counterparty. Review last 90 days of transaction history for related patterns. Update risk profile.,0.9514,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20069,15069,47216,3052,RISK_DRIVER,"Key risk factors: Pattern match confidence 20% (score: 17), high amount profile (score: 64), moderate counterparty risk (score: 40).",0.9735,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20070,15070,84159,3676,ALERT_SUMMARY,"Abnormal transaction velocity detected: 14 transactions initiated within 24 hours, far exceeding the company's baseline daily average. Pattern is consistent with rapid fund movement.",0.8668,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20071,15071,127053,137,ALERT_SUMMARY,Transaction destination country carries medium geographic risk. Standard enhanced monitoring applied.,0.9502,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20072,15072,9743,3073,RISK_DRIVER,"Key risk factors: Counterparty risk score 43, no sanctions match, moderate destination jurisdiction (score: 29), VERIFIED KYC status.",0.9436,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20073,15073,78905,2776,RECOMMENDATION,Assign to AML analyst for priority review within 24 hours. Request supporting documentation from relationship manager. Assess SAR filing requirement.,0.8901,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20074,15074,105553,3079,ALERT_SUMMARY,Cross-border transaction involves a high-risk corridor. Destination country carries elevated AML risk due to weak regulatory framework.,0.8360,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20075,15075,145730,4695,ALERT_SUMMARY,Counterparty is domiciled in a high-risk jurisdiction with prior adverse media flags. Enhanced counterparty due diligence is required.,0.8741,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20076,15076,115497,941,RECOMMENDATION,Assign to AML analyst for priority review within 24 hours. Request supporting documentation from relationship manager. Assess SAR filing requirement.,0.9613,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20077,15077,97820,3025,RECOMMENDATION,Conduct enhanced due diligence on counterparty. Review last 90 days of transaction history for related patterns. Update risk profile.,0.8246,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20078,15078,70243,4846,ALERT_SUMMARY,Transaction amount breaches the high-value monitoring threshold. Amount is 2.8x above the company's historical monthly average.,0.7757,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20079,15079,149584,726,RISK_DRIVER,"Key risk factors: Transaction velocity 1.4x above daily baseline (score: 16), moderate behavioral pattern (score: 16), moderate geography (score: 10).",0.9521,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20080,15080,76743,3672,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 83), no sanctions exposure, moderate transaction size (score: 43), cross-border routing.",0.8051,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20081,15081,119361,4188,ALERT_SUMMARY,Cross-border transaction involves a high-risk corridor. Destination country carries elevated AML risk due to weak regulatory framework.,0.9519,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20082,15082,70832,397,ALERT_SUMMARY,Counterparty is domiciled in a high-risk jurisdiction with prior adverse media flags. Enhanced counterparty due diligence is required.,0.7697,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20083,15083,64280,3033,RISK_DRIVER,"Key risk factors: Amount 1.9x above baseline average (score: 56), moderate geographic exposure (score: 14), normal transaction frequency (score: 17).",0.9377,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20084,15084,50758,3234,RECOMMENDATION,Request transaction purpose documentation from client. Verify beneficiary details. Assess whether EDD review is required.,0.9261,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20085,15085,131120,3185,ALERT_SUMMARY,Transaction routed through a high-risk jurisdiction flagged on the FATF grey list. Destination country has active sanctions exposure and a corruption index below 30.,0.9017,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20086,15086,128931,4002,RECOMMENDATION,Conduct enhanced due diligence on counterparty. Review last 90 days of transaction history for related patterns. Update risk profile.,0.7880,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20087,15087,49872,1661,RECOMMENDATION,Flag for immediate SAR consideration. Freeze related account activity. Escalate to AML Investigation team.,0.9507,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20088,15088,124352,3950,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 48), no sanctions exposure, high transaction size (score: 75), cross-border routing.",0.9718,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20089,15089,133690,56,RECOMMENDATION,Conduct enhanced due diligence on counterparty. Review last 90 days of transaction history for related patterns. Update risk profile.,0.9237,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20090,15090,36736,1589,RECOMMENDATION,Log for trend monitoring. No immediate action required unless pattern repeats within 30 days.,0.7963,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20091,15091,25045,4688,RISK_DRIVER,"Key risk factors: Counterparty risk score 19, no sanctions match, moderate destination jurisdiction (score: 25), VERIFIED KYC status.",0.8418,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20092,15092,107520,558,RECOMMENDATION,Standard review required within 5 business days. Confirm transaction aligns with client's stated business activity.,0.8995,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20093,15093,142970,4833,RISK_DRIVER,"Key risk factors: Amount 1.4x above baseline average (score: 43), moderate geographic exposure (score: 45), normal transaction frequency (score: 8).",0.9569,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20094,15094,138860,4020,RISK_DRIVER,"Key risk factors: Amount 1.7x above baseline average (score: 51), moderate geographic exposure (score: 22), elevated transaction frequency (score: 57).",0.7778,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20095,15095,28609,750,ALERT_SUMMARY,Counterparty is domiciled in a high-risk jurisdiction with prior adverse media flags. Enhanced counterparty due diligence is required.,0.7647,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20096,15096,10425,2804,ALERT_SUMMARY,Transaction amount is above the standard monitoring threshold. No prior threshold breaches recorded for this company in the last 90 days.,0.8853,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20097,15097,116561,4360,ALERT_SUMMARY,Minor pattern deviation noted. Transaction subtype and beneficiary combination is atypical for this company segment.,0.8853,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20098,15098,142191,1465,ALERT_SUMMARY,Transaction amount breaches the high-value monitoring threshold. Amount is 2.7x above the company's historical monthly average.,0.7663,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20099,15099,91851,4018,RECOMMENDATION,Flag for immediate SAR consideration. Freeze related account activity. Escalate to AML Investigation team.,0.7635,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20100,15100,134138,1527,ALERT_SUMMARY,New counterparty relationship detected. No prior transaction history with this beneficiary in the last 12 months.,0.9582,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20101,15101,104540,3321,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 88), no sanctions exposure, high transaction size (score: 60), cross-border routing.",0.7663,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20102,15102,18051,1787,ALERT_SUMMARY,"Transaction amount of $118,800 significantly exceeds the company's 90-day average of $39,600, triggering a critical threshold breach alert requiring immediate review.",0.8140,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20103,15103,143547,1494,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 11), no sanctions exposure, high transaction size (score: 59), cross-border routing.",0.7993,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20104,15104,64624,1846,ALERT_SUMMARY,Cross-border transaction involves a high-risk corridor. Destination country carries elevated AML risk due to weak regulatory framework.,0.9164,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20105,15105,81146,3216,RECOMMENDATION,Flag for immediate SAR consideration. Freeze related account activity. Escalate to AML Investigation team.,0.8825,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20106,15106,104432,2412,ALERT_SUMMARY,Transaction routed through a high-risk jurisdiction flagged on the FATF grey list. Destination country has active sanctions exposure and a corruption index below 30.,0.9305,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20107,15107,116404,3722,RISK_DRIVER,"Key risk factors: Counterparty risk score 84, active sanctions match, elevated destination jurisdiction (score: 84), EXPIRED KYC status.",0.7938,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20108,15108,22678,1126,ALERT_SUMMARY,Counterparty is domiciled in a high-risk jurisdiction with prior adverse media flags. Enhanced counterparty due diligence is required.,0.9016,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20109,15109,28419,2122,RISK_DRIVER,"Key risk factors: Counterparty risk score 12, no sanctions match, moderate destination jurisdiction (score: 16), VERIFIED KYC status.",0.8474,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20110,15110,93722,4353,RISK_DRIVER,"Key risk factors: Counterparty risk score 20, no sanctions match, moderate destination jurisdiction (score: 26), VERIFIED KYC status.",0.9487,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20111,15111,72573,1185,ALERT_SUMMARY,"Transaction amount of $114,000 significantly exceeds the company's 90-day average of $38,000, triggering a critical threshold breach alert requiring immediate review.",0.9049,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20112,15112,58550,713,RECOMMENDATION,Review transaction documentation and verify business purpose. Update monitoring watchlist if pattern continues.,0.7726,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20113,15113,9535,4848,RISK_DRIVER,"Key risk factors: Counterparty risk score 90, active sanctions match, moderate destination jurisdiction (score: 16), EXPIRED KYC status.",0.9175,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20114,15114,120882,4917,ALERT_SUMMARY,Cross-border transaction involves a high-risk corridor. Destination country carries elevated AML risk due to weak regulatory framework.,0.8072,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20115,15115,50785,3767,ALERT_SUMMARY,Transaction destination country carries medium geographic risk. Standard enhanced monitoring applied.,0.8733,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20116,15116,117445,2731,ALERT_SUMMARY,"Transaction pattern matches known structuring typology: multiple sub-threshold transfers to different beneficiaries within 48 hours, consistent with layering activity.",0.8470,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20117,15117,27106,1542,RISK_DRIVER,"Key risk factors: Transaction velocity 2.3x above daily baseline (score: 85), moderate behavioral pattern (score: 16), moderate geography (score: 13).",0.8564,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20118,15118,97492,2121,ALERT_SUMMARY,Beneficiary entity has direct sanctions list exposure (OFAC SDN). Transaction to this counterparty is prohibited without prior compliance approval.,0.8519,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20119,15119,138889,2806,RECOMMENDATION,Suspend transaction processing. Conduct emergency counterparty screening. Notify Financial Crime Operations within 2 hours.,0.7725,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20120,15120,22080,3888,RECOMMENDATION,Request transaction purpose documentation from client. Verify beneficiary details. Assess whether EDD review is required.,0.9798,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20121,15121,101434,334,ALERT_SUMMARY,Transaction frequency spike detected. Company has exceeded its typical weekly transaction count within a single day.,0.9729,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20122,15122,7081,1955,ALERT_SUMMARY,Transaction routed through a high-risk jurisdiction flagged on the FATF grey list. Destination country has active sanctions exposure and a corruption index below 30.,0.7883,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20123,15123,53284,2878,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 14), no sanctions exposure, high transaction size (score: 94), cross-border routing.",0.8607,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20124,15124,121889,1843,RISK_DRIVER,"Key risk factors: Pattern match confidence 65% (score: 0), high amount profile (score: 72), moderate counterparty risk (score: 24).",0.9576,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20125,15125,2815,903,ALERT_SUMMARY,Transaction amount is above the standard monitoring threshold. No prior threshold breaches recorded for this company in the last 90 days.,0.8372,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20126,15126,107543,2445,RISK_DRIVER,"Key risk factors: Transaction velocity 2.3x above daily baseline (score: 1), moderate behavioral pattern (score: 9), elevated geography (score: 64).",0.8110,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20127,15127,50807,4467,RISK_DRIVER,"Key risk factors: Pattern match confidence 14% (score: 12), high amount profile (score: 55), moderate counterparty risk (score: 22).",0.8156,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20128,15128,136698,4485,RECOMMENDATION,Suspend transaction processing. Conduct emergency counterparty screening. Notify Financial Crime Operations within 2 hours.,0.9702,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20129,15129,103872,1726,RECOMMENDATION,Flag for immediate SAR consideration. Freeze related account activity. Escalate to AML Investigation team.,0.9022,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20130,15130,35759,4505,RISK_DRIVER,"Key risk factors: Transaction velocity 2.0x above daily baseline (score: 4), moderate behavioral pattern (score: 2), moderate geography (score: 25).",0.7856,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20131,15131,113734,272,RISK_DRIVER,"Key risk factors: Pattern match confidence 15% (score: 13), high amount profile (score: 65), moderate counterparty risk (score: 22).",0.8001,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
